"YEAR","Brazil (1.00 BRL)","China excluding Hong Kong, Macao and Taiwan (1.00 CNY)","France (1.00 EUR)","Germany (1.00 EUR)","Germany, Federal Republic of (1.00 DEM)","India (1.00 INR)","Japan (1.00 JPY)","Russian Federation (1.00 RUB)","South Africa (1.00 ZAR)","United Kingdom (1.00 GBP)","United States of America (1.00 USD)"
"1970",503055108140.5095,0.4062053722,0.590506446,"_",0.2732240435,0.1333333332,0.0027777778,"_",1.3999994406,2.3999980834,1
"1971",437020750975.2214,0.4062053722,0.5920972206,"_",0.2851120061,0.1334768613,0.0028516214,"_",1.3981772203,2.4335623046,1
"1972",389414162307.0082,0.4454211147,0.6498342928,"_",0.3136131635,0.1316747863,0.0032984522,"_",1.300854911,2.4975619953,1
"1973",377224607455.0219,0.5026601972,0.736158003,"_",0.3741674775,0.1291649469,0.0036805074,"_",1.4410071182,2.4499539017,1
"1974",340325773131.3393,0.50991606,0.6816062896,"_",0.3864360933,0.1234323592,0.0034236902,"_",1.4717201535,2.3377789487,1
"1975",284345812838.5176,0.5376854629,0.765049976,"_",0.4064558742,0.1193902699,0.0033694141,"_",1.3522508626,2.2121879067,1
"1976",216510795843.2863,0.5150881286,0.6845814001,"_",0.3971405879,0.1116020021,0.0033720842,"_",1.149999999,1.796913445,1
"1977",163375540078.9394,0.5382642987,0.6680658048,"_",0.4306292212,0.1144351185,0.0037242561,"_",1.149999999,1.7443726569,1
"1978",127881328677.3893,0.5939690454,0.7267255324,"_",0.4978530091,0.1220577916,0.0047519107,"_",1.149999999,1.9175286927,1
"1979",85758213128.7843,0.6431120639,0.7709129729,"_",0.5455884629,0.123064943,0.0045632929,"_",1.1876165767,2.11783119,1
"1980",43835964388.89256,0.6673847468,0.7761748403,"_",0.5501558778,0.1271788163,0.0044103216,"_",1.2839710867,2.3239870376,1
"1981",24813828449.87909,0.5866679707,0.6034997923,"_",0.4424778763,0.1154931414,0.0045344105,"_",1.1394986266,2.0094793881,1
"1982",12872424549.87972,0.528389952,0.4990467279,"_",0.4121006489,0.1057626702,0.0040148281,"_",0.9209664931,1.746887123,1
"1983",4004514333.520196,0.5061561241,0.4303450312,"_",0.391656413,0.0990207026,0.0042103195,"_",0.8975854952,1.5157840511,1
"1984",1250404312.022695,0.4310267417,0.3753000881,"_",0.3513775465,0.0880081554,0.0042101275,"_",0.6778385762,1.3301292006,1
"1985",372683445.2398883,0.3405231002,0.3650197964,"_",0.3396777591,0.0808489136,0.0041922423,"_",0.4486970959,1.2832917979,1
"1986",169213834.9807259,0.2896207175,0.4735405129,"_",0.460514702,0.0792969008,0.0059340196,"_",0.4376306966,1.4658515229,1
"1987",58905623.66876172,0.2686655383,0.5456569872,"_",0.556361765,0.0771515642,0.0069138363,"_",0.4911510944,1.6341831903,1
"1988",8806873.510121647,0.2686655383,0.5505820241,"_",0.5694031232,0.0718541361,0.007803254,"_",0.4398567387,1.7788208256,1
"1989",815403.0053431625,0.2655966074,0.5140614694,"_",0.531903105,0.0616313827,0.0072482458,"_",0.3812897316,1.6361986034,1
"1990",33832.6263299141,0.2090646968,0.6023176056,1.2104905925,"_",0.0571314309,0.0069064351,"_",0.3865001924,1.7756401701,1
"1991",5683.0631896507,0.1878501644,0.5813040023,1.1785362424,"_",0.0439706686,0.0074235376,"_",0.3621462962,1.7636207369,1
"1992",512.0266031031,0.181337089,0.6195502645,1.2524125124,"_",0.0385831,0.0078956926,27.8109803745,0.3506293944,1.7550813261,1
"1993",26.125614985,0.1735521054,0.5791368177,1.1829706374,"_",0.0327940982,0.0089929848,2.8806629089,0.3060217506,1.4997977823,1
"1994",1.5044754065,0.1160262046,0.5907345852,1.2052237062,"_",0.0318737875,0.0097839885,0.721245303,0.2816268079,1.5303937636,1
"1995",1.0897203051,0.1197401638,0.6570763295,1.3647237782,"_",0.0308384259,0.0106315594,0.2796400935,0.2757034919,1.5781131612,1
"1996",0.994925878,0.1202765157,0.6411436955,1.2997498517,"_",0.0282221406,0.0091929461,0.195280716,0.2325933441,1.5601640079,1
"1997",0.9276509559,0.1206299295,0.5619253487,1.1278933252,"_",0.0275381304,0.008265087,0.1728658273,0.2170156942,1.6371003233,1
"1998",0.861685169,0.1207881426,0.5559414002,1.111476963,"_",0.0242369217,0.0076391101,0.1030387855,0.1808879518,1.6561128278,1
"1999",0.5512883246,0.1207984779,1.0653856176,1.0653856176,"_",0.0232258751,0.0087791067,0.0406175492,0.1636799397,1.6179741525,1
"2000",0.5466204007,0.1207947692,0.9213186219,0.9213186219,"_",0.0222510967,0.0092794077,0.0355502888,0.1440957833,1.5130176254,1
"2001",0.4255986145,0.1208157236,0.8948465786,0.8948465786,"_",0.0211925406,0.0082284922,0.0342835299,0.1161550697,1.4395635243,1
"2002",0.342423183,0.1208173414,0.9411307058,0.9411307058,"_",0.0205717637,0.0079752436,0.0318994699,0.0948699396,1.498748545,1
"2003",0.3249417011,0.1208161858,1.1286246486,1.1286246486,"_",0.0214669278,0.0086256372,0.0325817537,0.1321920896,1.6327263673,1
"2004",0.3418663809,0.1208196283,1.2416730302,1.2416730302,"_",0.0220670338,0.0092427789,0.0347056627,0.1548061305,1.8308982387,1
"2005",0.410780518,0.1220358012,1.2435954833,1.2435954833,"_",0.0226757498,0.0090729108,0.035355126,0.1572493112,1.8181873278,1
"2006",0.4597010717,0.1254164086,1.2544834717,1.2544834717,"_",0.0220716405,0.0085985032,0.0367769311,0.1476766949,1.8399715418,1
"2007",0.5135952955,0.1314486662,1.368667773,1.368667773,"_",0.0241846547,0.0084923145,0.0390917495,0.1419372878,2.0009137506,1
"2008",0.5453256503,0.1439127428,1.4648264884,1.4648264884,"_",0.0229857668,0.00967497,0.0402367935,0.1210474478,1.8383493461,1
"2009",0.5001429976,0.1463825351,1.3891911155,1.3891911155,"_",0.020658909,0.0106871759,0.0315056304,0.1180125624,1.5578283078,1
"2010",0.5684315694,0.1477046179,1.3244244563,1.3244244563,"_",0.0218694858,0.0113921329,0.0329294912,0.1365892204,1.5451667407,1
"2011",0.5977898197,0.1547637523,1.3901337274,1.3901337274,"_",0.0214268267,0.0125302261,0.0340340474,0.1377195707,1.6022024882,1
"2012",0.5120147824,0.158420037,1.2848621628,1.2848621628,"_",0.0187135437,0.0125328273,0.0324255988,0.1218031451,1.5796615695,1
"2013",0.463802714,0.1614007429,1.3277405681,1.3277405681,"_",0.0170654739,0.0102463574,0.0314098529,0.1035726766,1.5633291077,1
